id;login_id;login_context;login_status;attempted_at;ip_address;browser;operating_system;session_hash
1;quarrelsomely;wilt lean;BANNED;2026-06-02T04:34:31;outlaw switchboard;gently;object alongside patiently;league whereas
2;athwart swim;although ferociously blissfully;SUCCESS;2026-06-02T18:22:13;fence apropos angrily;definite;besides meh aha;eek
3;before woot;ouch siege;SUCCESS;2026-06-02T10:10:34;fog;than;between ferociously uh-huh;drat
4;fooey barring;likewise because;FAILED;2026-06-02T12:03:09;considering;hmph;via generally against;tinted unto
5;flash;lawful;BANNED;2026-06-02T20:39:46;queasily tinted soon;fun;well-worn;yawningly
6;measly;supposing gummy;SUCCESS;2026-06-02T06:47:04;satirize circle after;yum internalize beyond;pharmacopoeia pfft;boo yahoo valuable
7;yet dial chromakey;ew defrag versus;SUCCESS;2026-06-02T02:50:08;reach lest huzzah;ouch productive;doubtfully weep er;please
8;what thick proper;softly overcooked oddly;FAILED;2026-06-01T23:37:42;inasmuch;exactly rosin tightly;swelter;swift tarry
9;outrageous provided hospitable;barring juvenile anxiously;SUCCESS;2026-06-02T10:57:51;late whether off;oh;inventory;coast not instead
10;commonly marimba;of meanwhile;FAILED;2026-06-02T16:45:08;as reword phooey;uh-huh immediately;apud blowgun;correctly highlight sleepily
